database_info
Collection_number,Collection number
Collection_website,Collection website
Collection_portal,Collection portal
Division_number,Division number
Institution_number,Institution number
Discipline_number,Discipline number
Collection_name,Collection name
Discipline_name,Discipline name
Division_name,Division name
Institution_name,Institution name
ISA_number,ISA number
Collection_admin_name,Collection admin name
Collection_admin_email,Collection admin email
Collection_guid,Collection guid
Institution_guid,Institution guid
database_stats
Collection_estsize,Collection estsize
num_co,Collection Objects
num_txu,txu
num_tx,tx
num_geo,geo
num_geou,geou
num_loc,loc
num_locgr,locgr
num_preps,preps
num_prpcnt,prpcnt
num_litho,litho
num_lithou,lithou
num_gtp,gtp
num_gtpu,gtpu
num_petro,petro
num_petrou,petrou
catbyyr,catbyyr
catbymn,catbymn
audit_ins,ins
audit_upd,upd
audit_rmv,rmv
num_dna,dna
num_co_dna,co_dna
num_ms_dna,ms_dna
system_info
id,ID
os_name,OS Name
os_version,OS Version
java_version,Java Version
java_vendor,Java Vendor
app_version,App Version
user_name,User Name
specifyuser,Specify User
tester,Tester
ip,IP
usage_data
HNDLE,HNDLE
OLD_IT_PERMS_WORKED,OLD_IT_PERMS_WORKED
RunCount,RunCount
SchemaExport_ExportToTable,SchemaExport ExportToTable
ShowHelp,ShowHelp
SQ_EX,SQ_EX
Usage_AP_LoginedIn,AP_LoginedIn
Usage_BE_Apply_agent,BE_Apply_agent
Usage_BE_Apply_collectingevent,BE_Apply_collectingevent
Usage_BE_Apply_collectionobject,BE_Apply_collectionobject
Usage_BE_Apply_locality,BE_Apply_locality
Usage_BE_Apply_preparation,BE_Apply_preparation
Usage_BE_Batc,BE_Batc
Usage_BE_BatchEditQueryResults_Agent,BE_BatchEditQueryResults_Agent
Usage_BE_BatchEditQueryResults_CollectingEvent,BE_BatchEditQueryResults_CollectingEvent
Usage_BE_BatchEditQueryResults_CollectionObject,BE_BatchEditQueryResults_CollectionObject
Usage_BE_BatchEditQueryResults_Locality,BE_BatchEditQueryResults_Locality
Usage_BE_BatchEditQueryResults_Preparation,BE_BatchEditQueryResults_Preparation
Usage_BE_Cancel_agent,BE_Cancel_agent
Usage_BE_Cancel_collectingevent,BE_Cancel_collectingevent
Usage_BE_Cancel_collectionobject,BE_Cancel_collectionobject
Usage_BE_Cancel_locality,BE_Cancel_locality
Usage_BE_Cancel_preparation,BE_Cancel_preparation
Usage_BE_Commit_agent,BE_Commit_agent
Usage_BE_Commit_collectingevent,BE_Commit_collectingevent
Usage_BE_Commit_collectionobject,BE_Commit_collectionobject
Usage_BE_Commit_locality,BE_Commit_locality
